Name of document,Page no.,Text
Induction Training Module for ASHA English,129,"129 Induction Training Module for ASHAsFor example if you need to bring to the notice of the person concerned the 
conditions that deprive the village women of the ANC services and also suggests 
solutions to overcome this problem. What should you do to write a clear, 
specific, effective letter?
Before starting to write an application/letter, you should:
l Have a clear subject in mind
l Know whom exactly it needs to be addressed to
l Have clarity on the reason for writing the letter 
Read the letter given below Annexure 6: Learning How to Write a Letter
Date
To   
___________(Name and address) 
Sub: request to organise VHND Day at two locations in the village Dear CDHO (write the name of the concerned person): 
I am working as ASHA for the village________of________Block. My village has 
a population of________. The houses are scattered across the areas. The ANM 
regularly comes and organises VHND. However, it is organised at a place which is not 
accessible for all the pregnant women. A large number of women living on the other 
side of the village, are not able to attend the antenatal clinic, due to the distance. 
I suggest that the antenatal clinic may be conducted in two places of the village 
on different dates. I had a discussion about the same with the ANM. She informed 
me that she needs permission from you. I request you to look into this matter. As an 
ASHA I take the responsibility to bring all the pregnant women so they have their 
antenatal check-up. You are welcome to visit our village. 
Thank you. 
Yours sincerely, 
___________(write name of ASHA and the village)"
Induction Training Module for ASHA English,130,"Induction Training Module for ASHAs
 130Annexure 7: Documenting a Meeting
Documentation of the Meeting
Date:    Time:    Venue:
Purpose of the meeting 
Members present during the meeting    Absent members
1) 
2) Decisions taken Action to be taken 
Actions Who will take Who will support 
it?Date of completion of the action
Signatures of the members 
This report needs to be appropriately filed and should be referred to during the next 
meeting, to review the progress."
Induction Training Module for ASHA English,131,"131 Induction Training Module for ASHAsAnnexure 8: Skills Checklist: Hand Washing
Number of Practices
Checklist 1 2 3 4 5
l Remove bangles and wrist watch
l Wet hands and forearms up to elbow with clean water (Fig. 1)
l Apply soap and scrub forearms, hands and fingers 
(especially nails) thoroughly (Fig. 2 to 7)
l Rinse with clean water
l Air dry with hands up and elbow facing the ground (Fig. 8)
l Do not touch with your hands the ground, floor or dirty objects after washing your hands
Note: Use the checklist while observing the skills being implemented.
When a step is performed correctly, place a tick (
) in the box.
When a step is not performed correctly, place a cross (X) in the box.Make sure to review the steps where crosses appear, so that performance can be improved.
"
Induction Training Module for ASHA English,132,"Induction Training Module for ASHAs
 132l To make a soak-pit we need to dig a pit of 1.5 meter length breadth and depth. 
l Fill the bottom 1/3 depth loose stones and brickbats, and fill the next 1/3 of the with 
smaller half size brickbats. 
l Fill the top third of the pit with even smaller brickbats. To stop rain water from 
entering the pit raise its borders by 10 centimetres above the ground level. 
l Fill it with dry grass or coconut coir on top. 
l Putting a used earthen pot at top with hole in bottom helps in straining water. 
l Connect the wastewater into this pot by using a pipe. Cover entire area with coir. The 
coir works like a filter. Clean or change the coir every month. 
Annexure 9: Making of a Soak-pit"
Induction Training Module for ASHA English,133,"133 Induction Training Module for ASHAsAnnexure 10: Home Based Remedies for Common 
Illnesses
Neem
Parts used are- leaves, fruits and outer portion of the stem. Leaves are used for 
skin diseases like eczema, infection. The oil and decoction of crushed neem 
leaves, is useful in itching and wound healing as it is a great antiseptic. Also 
used as pest-control medicine. 
Making neem oil: make 100 ml fresh juice of neem leaves. Add 25 cc sesame 
oil to this. Slow boil the mixture under cover. The water part will completely 
evaporate in half an hour. Cool and filter it. This is neem oil for wound care. Keep it in a well-capped bottle. It will stay for one year. Apply this to wounds 2-3 
times a day. This heals the wound well. For childbirth injuries, neem water bath 
is a healing treatment. Crush some leaves of neem and put them in warm bath 
water. Let the mother sit for fifteen minutes in this bathtub.
Tulsi
Tulsi leaves are useful in cough and cold. Give the tulsi juice with honey. The 
leaves are hot in nature that is why they are used in kafadosha. The decoction of Tulsi leaves is also useful for cough. The leaves are chewable. The seeds of tulsi 
are cold in nature. Hence the seeds are used in heat (pitta) disorders like heart 
burn, bleeding from nose, Burning feet, bleeding piles, sore mouth etc. Give the seeds with milk or ghee. Soak 20-30 seed grains in water or milk. This is a dose 
for once. Take it 2-3 times a day. Take about a cupful of tulsi leaves. Soak them 
in water for five minutes. Then crush them on a stone. Strain in cloth and collect about 20 ml juice (half a cup). Crush more leave if necessary to make 20 ml. This 
makes 3 doses for one day for an adult. This is good for cold and fever illnesses. 
Give it for 3 days. For children the dose could be 10 leaves juice, 2-3 times a day.
Kumari
Kumari (Aloe) is a garden plant. In wounds, we can apply aloe in place of a medicated dressing. Take a piece of aloe about the size of the wound. Cut it into 
a slice. Clean the wound with water. Apply the aloe slice on it and tie up with 
a clean cloth bandage. Change the dressing every day. It heals faster. It is very useful for burns treatment as dressings. Kumari is used in several Ayurvedic 
preparations. It is useful for liver disorders and women’s illnesses like pain in 
the periods. It is also used for dandruff and for the growth of hair. You can grow kumari in your garden and ask people to grow in the kitchen garden. It is hardy 
plant and stays for years.
"
Induction Training Module for ASHA English,134,"Induction Training Module for ASHAs
 134Adusa
Adusa is small shrub grown for fencing. It is good remedy for coughs. Use fresh 
juice or decoction of leaves. Fresh juice of leaves is used with honey. It is useful 
for bleeding disorders e.g. blood in cough, blood in stools, urine etc.
Take 50-60 gms of adusa leaves and wash them clean. Slow boil the leaves in 
one litre of water for half an hour. About one fourth water should be left. This is 
adusa Kawatha for coughs. Cool and filter it. Give 20 ml once, 2-3 times a day for 
three days. One can add sugar or honey as per requirement.
Kuda
This is a forest tree with typical fruits. The fruit is black in colour when fully ripe. The fruit is like thin double drumstick but in twins. The bark or cover of the 
tree-stem is used for medicine. This is a good medicine for loose motions and 
dysentery. You can simply grind a piece of bark and mix with a spoon of honey and give as medicine. Kadha (Kawatha) also is useful. For this take a 10 gm (2 
teaspoon full) of bark powder, add one glass (200 ml) of water and boil. Boil it till 
¼ water remains. Cool and bottle it. For an adult 20 ml kadha (Kawatha) for  3 times a day is useful to stop dysentry. 
Mushroom
English - Field mushroom, Edible mushroom: Ayurvedic - Chhatraka, Bhuumichhatra; Unani -Kammat; Siddha - Venkodiveli.It is a protein supplement 
and an excellent source of vitamins of B complex. Vitamins K, C and D are also 
present. Extracts of mushroom is known to lower blood pressure and help in healing digestive problems. 
Other simple home remedies
Haldi (turmeric) is a powder of a root and has antiseptic properties. Haldi Powder pressed on bleeding wounds stop bleeding and helps in wound 
healing. Also used for cuts and abrasions after mixing with oil. Improves 
complexion when applied with milk and chana dal flour (besan) at the time of bath, as UBTAN.
Triphala is a combination of three fruits: Aamla, Hirda, and Beheda. Triphala 
powder can be used in constipation, to reduce obesity, diabetes and as external application for healing wounds. It is applied on skin at the time of bath. Its 
decoction is useful for gargling in illnesses such as sore throat, inflammation in 
mouth, and bleeding gums (as tooth powder) and vision disorders.
"
Induction Training Module for ASHA English,135,"135 Induction Training Module for ASHAsPudina leaf has stimulant and astringent action and is useful in controlling 
diarrhoea, dyspepsia, flatulence, intestinal colic, and liver disorders. Peppermint 
oil relaxes gastrointestinal muscles in dyspeptics.
Ginger Dried rhizomes are recommended in dyspepsia, loss of appetite, 
anaemia and cough. Fresh rhizomes are recommended in constipation, colic 
and throat infections. Both fresh and dried rhizomes suppress gastric secretion 
and reduce vomiting. Gingerol and shogaol have gained importance due to their sedative, anti-inflammatory, antipyretic and analgesic.
Garlic is antibiotic and antifungal in nature. It is widely used for upper 
respiratory tract infections. It promotes the well-being of the heart and immune systems with antioxidant properties and helps maintain healthy blood 
circulation. 
Kali Mirchi is a spice which acts as a diuretic and encourages our bodies to 
sweat and get rid of harmful toxins. It aids digestion and help prevent the 
formation of intestinal gas and reduce stomach upset. Taken with hot tea with 
mint, it helps to break-up. It has antibacterial properties, promotes healing and kills germs. 
Drumsticks - All parts of the tree are reported to be used as cardiac and 
circulatory stimulant. Fried pods are used by diabetics. Flowers are diuretic. Root juice is used for nervous debility, asthma, enlarged liver and spleen. Decoction 
is used as a gargle in sore throat. Drumsticks are a rich source of calcium. Its 
soup helps ease chest congestions, coughs and sore throats. Inhaling steam of water in which drumsticks have been boiled helps ease asthma and other lung 
problem. 
Papaya has antioxidant nutrients which include vitamin A, C, E, and beta-
carotene, are very good at reducing inflammation. The ripe fruit is easily 
digestible and prevents constipation. The juice of the papaya aids in relieving 
infections of the colon. The seeds are used for expelling worms when given with honey. Chew and swallow two teaspoonfuls of seeds after each principal meal 
(three times a day). It is a good source of fibre and has been shown to lower 
high cholesterol levels.
Oils like Sesame oil or coconut oil are considered good for massage and 
used for pain in the joints. Medicines may still be necessary for joint pains. 
Massage improves blood circulation in the skin. Head massage with oil helps to overcome sleeplessness.
"
Induction Training Module for ASHA English,136,"Induction Training Module for ASHAs
 136Mulethi is very a useful plant and available as small dry sticks. It is used to 
improve hoarse voice and is given with honey. Mulethi powder is useful in 
cough and hyper acidity. It improves the brain function when given with cow’s 
milk. It is also used in pitta disorders-because as it has cooling properties. It is used as an external application to improve skin glow when applied with haldi 
powder and milk. It serves as a tonic when taken with shatavari (Asparagn) 
powder and milk especially in lactating mothers.
Aamla Powder with ghee is useful in Hyperacidity.
Gulkand (Rose Petal in sugar) + Ghee is also useful in heartburn.
Honey and warm water/hot water sips it helps to reduce dry cough. Honey is 
good for cough, and use as a vehicle for medicines.
"
Induction Training Module for ASHA English,137,"137 Induction Training Module for ASHAsTable A- Drug Dosage and Dispensing Schedule 
Sl. 
No.Medicine Action & Use Age Specific Dose Side effects 
1a) Tablet Paracetamol
1 tablet=500mgDuration: To be 
given for 3 days only
Frequency: 
Maximum four times a day at an interval of six hoursReduces fever and pain. Useful in fever, headaches, backaches, body aches etc.More than 12 years : 1 to 2 tablets 3 to 4 times a dayNo side effects. If too many tablets are taken at one time, it can cause damage to liver. Keep the medicine away from children. Should be taken only after meals.8 to 12 years : 1 tablet 3 to 4 times a day 
4 to 8 years : ½ tablet 3 to 4 times a day
2 months -3 years  
(Wt 4-14 kgs)- ¼ tab (One fourth); maximum four times a day
3 yrs -5 yrs. (Wt 14-19 kgs) -½ tab (Half 
tablet) –maximum four times a day.Content of ASHA Drug Kit Annexure 11: Drug kit; Dosage and Drugs Dosage and 
Dispensing Schedule
ORS
Paracetamol Tablet and syrupOral Contraceptive PillsCondomsIFAChloroquinePaediatric Cotrimoxazole syrup 
and tabletDicyclomine
AlbendazoleNischay KitThermometersBandagesCotton SwabBetadine; Gentian Violet"
Induction Training Module for ASHA English,138,"Induction Training Module for ASHAs
 138Sl. 
No.Medicine Action & Use Age Specific Dose Side effects 
1b) Paracetamol syrup 
Duration: To be 
given for 3 days only
Frequency: 
Maximum four times a day at an interval of six hours.
5 ml or (1 tsp) 
Syrup=125 mg/5ml (Each 1 ml contains 25 mg of paracetamol)
Per kg dose of 
paracetamol=10-15mg/kg/doseNewborn<3kg;  1.25 ml or ¼ tsp (One fourth tea spoon)Same as above
>1 year (>3kg-8kg);  2.5 ml or ½ tsp (Half tea spoon)
1-3 yrs (>8-14 kgs);  
5 ml or 1 tsp (One tea spoon)
>3 yrs>14 kgs- 
7.5 ml or 1 ½ tsp (One and Half tea spoon)
2 Iron tablet (adult) 60mg elemental iron.Prevention of Anaemia and Anaemia treatment One tablet daily for 100 days, for prevention of anaemia.
Two tablets for 100 days for treatmentShould be taken after 
meals, Can cause stomach upset. Stool (motions) may be hard and black coloured. 
Paediatric IFA( 20 mg elemental iron). 
To be given for 14 
days in anaemic child and then reassessPrevention of Anaemia and Anaemia treatment in infants and children<4 months On doctor’s advice Side Effects: Constipation
In case of diarrhoea 
take doctor’s advice
In case of abdominal 
pain tablet should be consumed after food.4 months-12 months (Wt 6-10 Kg) 1 tab Once a day*
1 yr-3 yrs (Wt 10-14 Kg) 1½ tabs Once a 
day*
3 yrs-5 yrs (Wt 14-19 Kg) 2 tabs- once a 
day
*Can be increased on doctor’s advice
3 Albendazole Tablet Deworming Less than one year- not to be given. 1-2 years – half a tablet (400 mg) once 
a day 
More than 2 years- one tablet( 400 mg) 
once a daySide Effects: Dizziness in rare cases
Contra-indicated in 
child less than 1 year and in pregnancy"
Induction Training Module for ASHA English,139,"139 Induction Training Module for ASHAsSl. 
No.Medicine Action & Use Age Specific Dose Side effects 
4a) Syrup Cotrimoxazole5ml or  (1 teaspoon) Syrup: Sulphamethoxazole 200 mg+ Trimethoprim  40 mg
Duration: To be 
given for 5 daysFrequency: Two times a dayAcute Respiratory infections in children andSepsisBirth upto<1 months (<3 kg) One fourth teaspoon syrup (1.25 ml)* Twice a dayRarely nausea, vomiting, stomatitis, rashes, headache.Caution: The dose is 5 to 8mg/Kg of Trimethoprim per day in two divided doses. Tablets come in 20mg.40mg, 80mg or sometimes 160mg Trimethoprim. Depending on what tablet is given to you, you would be taught the number of tablets to be dispensed. *Avoid Cotrimoxazole in infants less than one month who are premature or jaundiced1 month up to 2 months (3- 4 kg weight)½ teaspoon (2.5 ml) Twice a day
2 months-12 months (4-10 kgs weight)
Full teaspoon (5 ml) Twice a day
12 months-5 yrs (10-19 kgs weight)
2 Full teaspoon (10 ml) Twice a day 
4b) Tablet Cotrimoxazole
1 Tablet: 
Sulphamethoxazole 100 mg + Trimethoprim  20 mg
Duration: To be 
given for 5 daysFrequency: Two times a dayAcute Respiratory infections in children andSepsisFor Birth upto<1 months (less than 3 kg weight)- Tablet is not to be given.
1 month up to 2 months (3- 4 kg weight)
One tablet- Twice a day
2 months-12 months (4-10 kgs weight)- 
Two TabletsTwice a day
12 months-5 years (10-19 kgs weight)- 
Three TabletsTwice a day.
5 ORS packet Replaces salt and water in our bodyAs required. In adults: Half a glass after every stool.Throw ORS solution after 24 hours. Make it fresh. Do not use a packet if it is like a cake
In diarrhoea with no dehydration< Two months of age: five teaspoon full after every loose stool
2.1 months- 2 years of age - Half a cup 
after every loose stool (100 ml).
Older children can have up to one cup 
(200 ml) after every stool
In diarrhoea with dehydrationUp to 4 months; weight less than 6kg-200-400 ml or two cups
4 months-12 months; with weight 
between 6-10 kgs- 400-700 ml or three cups
12 months-2years; with weight between 
10-12kgs- 700-900 ml or five cups
2-5 years; with weight between 12-
19kgs- 900-1400 ml or seven cups"
Induction Training Module for ASHA English,140,"Induction Training Module for ASHAs
 140Sl. 
No.Medicine Action & Use Age Specific Dose Side effects 
6 Gentian Violet liquidKills many germsFor application on wound inside mouth, vagina etcStains clothes. Let it dry before putting on clothes.
7 Antiseptic lotion/ ointmentKills wound germsOnly for external use, wound wash etc can cause irritation if too much is used.
Table B– Side Effects of Common TB Drugs
Side effects Drug( Abbreviation) Management
Drowsiness Isoniazid(H) Reassure the patient
Red-orange urine, tears Rifampcin (R) Reassure the patient
Gastro-intestinal upset Any oral medication Reassure patient
Give drugs with less waterDo not give drugs on empty stomach
Severe itching Isoniazid(H) and other drugs Reassure patient;
Stop all drugs & Refer to MO
Burning in hands & feet Isoniazid(H) Refer to MO who will give pyrodoixine 
100mg/day till symptoms subside
Severe joint pains Pyrazinamide(Z) Refer to MO
Impaired vision Ethambutol STOP treatment & refer for evaluation
Jaundice Isoniazid(H)
Rifampcin(R)Pyrazinamide(Z)STOP treatment & refer for evaluation
Ringing in the ears Streptomycin(S) STOP Streptomycin and refer for 
evaluation
Loss of hearing Streptomycin(S) STOP Streptomycin and refer for evaluation
Dizziness & loss of balance Streptomycin(S) STOP Streptomycin and refer for evaluation"
Induction Training Module for ASHA English,141,"141 Induction Training Module for ASHAsTable C- Treatment Guidelines for Malaria
Age-specific drug schedules
1. Chloroquine tablets (150 mg base)
Age (in years) Day 1 Day 2 Day 3
Tab. Chloroquine Tab. Chloroquine Tab. Chloroquine
<1 1/2 1/2 1/4
1-4 1 1 1/2
5-8 2 2 1
9-14 3 3 1+1/2
15 & above 4 4 2
2. Primaquine tablets (7.5 or 2.5 mg base)
Age (in years) P . falciparum P . vivax
Primaquine 0.75 mg/kg on day 1 Primaquine 0.25 mg/kg daily 
dose for 14 days*
mg base No. of Tablets 
(7.5 mg base)mg base No. of Tablets 
(2.5 mg base)
<1 Nil 0 Nil 0
1-4 7.5 1 2.5 1
5-8 15 2 5.0 2
9-14 30 4 10.0 4
15 & above 45 6 15.0 6
* Primaquine is contraindicated in children under one year and pregnant women.
3. Artesunate 50 mg tablets + Sulfadoxine-Pyrimethamine 500 + 25 mg 
tablets (ACT) combination
Age (in years) 1st Day  
(number of 
tabs)*2nd Day  
(number of 
tabs)3rd Day  
(number of 
tabs)
<1 Year* AS
SP1/2
1/41/2
Nil1/2
Nil
1-4 Yeas* AS
SP111
Nil1
Nil
5-8 Year* AS
SP2
1
1/22
Nil2
Nil
9-14 Year* AS
SP323
Nil3
Nil
15 and above AS
SP434
Nil4
Nil
* till such time as age-wise blister packs are made available for all age groups"
Induction Training Module for ASHA English,142,"Induction Training Module for ASHAs
 142Annexure 12: Preparing Malaria Slide 
For preparation of blood smears following items are required: 
1. Clean glass slides
2. Disposable Lancet
3. Spirit or Cotton swab for cleaning the finger
4. Cotton
5. Clean piece of cotton cloth
6. Lead pencil
After the patient information has been recorded on the appropriate form, the 
blood films are made as under:
l	Take a clean glass slide free from grease and scratches 
l	Clean the finger of the patient using a spirit swab
Take the following steps for preparation of the blood smear
i. Select the second or third finger of the left hand 
ii. The site of the puncture is the side of the ball of the finger, not too 
close to the nail bed 
iii. Allow the blood come up automatically. Do not squeeze the 
finger.
iv. Hold the slide by its edges 
v. The size of the blood drop is controlled better if the finger touches 
the slides from below 
"
Induction Training Module for ASHA English,143,"143 Induction Training Module for ASHAsvi. Touch the drop of blood with a clean slide, three drops are 
collected for preparing the thick smear.
vii. Touch another new drop of blood with the edge of a clean slide 
for preparing the thin smear.
viii. Spread the drop of blood with the corner of another slide to 
make a circle or a square about 1 cm
ix. Bring the edge of the slide carrying the second drop of blood to 
the surface of the first slide, wait until the blood spreads along the whole edge
x. Holding it at an angle of about 45
o push it forward with rapid but 
not too brisk movement
xi. Write with a pencil the slide number on the thin film, Wait until the 
thick film is dry. The thin film is always used as a label to identify the patient. 
Remember 
l	The blood should not be excessively stirred. Spread gently in circular or 
rectangular form with 3 to 6 movements. 
l	The circular thick film should be about 1 cm (1/5 inch) in diameter.
l	Allow the thick film to dry with the slide in the flat, level position protected 
from flies, dust and extensive heat.
l	Label the dry thin film with a soft lead pencil by writing in the thicker 
portion of the film the blood slide number and date of collection
The lancet and cotton swab should be disposed off.
"
Induction Training Module for ASHA English,144,"Induction Training Module for ASHAs
 144Annexure 13: Technique for Performing Rapid 
Diagnostic Test
Procedure
l	Check that the test kit is within its expiry date. If not discard it. Read the 
instructions of the test kit, as there may be minor variations in the procedure 
between different kits. Place a small box, jar or bottle for trash next to the kit.
l	Open a foil pouch and check that the desiccant inside it is still blue. If not, 
discard the test.
l	Remove the test strip and the small glass tube or loop from the foil pouch and place them on a clean dry surface.
l	Take out the buffer solution and the dropper. Place a new test tube in the multiple well plate.
l	Clean a finger with the swab and let the skin dry completely in the air. Prick finger on the side with a lancet. Place lancet in trash container. Let a drop of 
blood come out on the skin.
l	Touch the tip of the glass tube or the loop to the blood drop on the finger 
and let a small quantity of blood (a small drop) come up in the tube or the 
loop.
l	Touch the tube or the loop to the test strip just below the arrow mark to 
place the blood there. If there is a paper, where Plasmodium falciparum is 
written, remove it and place the blood, where it was. Place tube/loop in trash 
container.
l	Using the dropper, place 4 drops of buffer solution into a new test tube. After this, place the test strip containing blood in the buffer solution with 
the arrow pointing down. While waiting, a slide can be prepared.
Materials in the Rapid Diagnostic Test kit
l	Spirit (alcohol) swab (one for each patient)
l	Disposable Lancet (one for each patient)
l	Capillary tube (one for each patient)
l	Test strip (one for each patient)"
Induction Training Module for ASHA English,145,"145 Induction Training Module for ASHAsl	One multiple well plastic plate
l	Test tube (one for each patient)
l	Buffer solution or reagent solution
l	Desiccant 
Observe after 15 minutes – if any red line does not appear in the test strip then 
the test strip is not working: discard it and use another one.
l	If a single red line appears, it is not falciparum malaria. If two red lines 
appear, the test result is falciparum malaria.
l	The test should be read 15 to 20 minutes after blood was taken. Earlier or later readings may lead to false results.
l	Place test strip and test tube in trash container. Make sure this container is kept out of reach of children. When it is full, if in a village, bury it in the 
ground, or send it with the MPW to the PHC for safe disposal."
Induction Training Module for ASHA English,146,"Induction Training Module for ASHAs
 146Annexure 14: Instructions for Pregnancy Test using 
Nischay Kit
The Nischay Kit contains the following:
l	A test card
l	A disposable dropper
l	A moisture absorption packet (not required for testing)
l Collect the morning urine in a clean 
and dry glass or in a plastic bottle.
l Take two drops of urine in the sample well.
l Wait for 5 minutes.
l If two violet colour lines come in the test region (T), the woman is pregnant.
l If she wants to continue with the pregnancy, advise her to undergo 
antenatal care.
l If she does not want to continue with 
the pregnancy this time, advise her for 
safe abortion.
l If the violet colour line in the test 
region (T) is one only, the woman is not 
pregnant.
l Tell her about family planning methods 
and help her in choosing the most 
appropriate one.
l	If there is no colour line in the test region 
(T), repeat the test next morning using a 
new Pregnancy Test Card.
"
Induction Training Module for ASHA English,147,"Induction 
Training Module
for ASHAs
Ministry of Health & Family Welfare
Nirman Bhavan, New Delhi"
Elderly Care Training Manual for ASHA,1,"1
Introduction to Elderly Care
Ayushman Bharat Health and Wellness Centres are bringing healthcare services closer to the community 
and at the same time providing comprehensive healthcare to the people. Along with maternal, child and 
adolescent health services, an expanded range of service packages are being introduced through the AB-
HWCs. Elderly care is an important package among these expanded services.
With improving healthcare quality, increased access to healthcare services and greater awareness 
among the population, people all over the world are now living longer than before. It has therefore 
become important to ensure a healthy ageing process along with continued wellness through old age. 
Simultaneously it is also important to understand health needs of elderly and facilitate care seeking for 
them. Providing support to the caregivers of the elderly, especially to those who have bed ridden elderly 
to cater to, is equally essential. The focus is mainly on facilitating access of health services for the elderly, 
psychosocial support for the elderly and their family, nutritional care and home-based care for bed ridden 
elderly.
As an ASHA, you are part of Health and Wellness Centre team and closest to the community, you would 
play a major role in identifying the elderly in need and facilitating health care access for them. You would 
also be a key member for promoting healthy ageing, ensuring right nutrition and providing psychosocial 
support. 
This module will act as a guide to help you identify various common elderly health conditions and 
determine what to do in these situations. By the end of this module, you will learn:
•	 To	identify	elderly	in	need	of	care	in	the	community	 and	facilitate	their	access	to	health	care
•	 To	conduct	home	visits	for	elderly	supported	and	supplemented	by	MPW(F/M)
•	 To	 carry	out	health	promotion	 and	IEC	activities	 regarding	 elderly	care	on	community	
platforms 
•	 To	identify	signs	and	symptoms	for	common	health	problems	affecting	elderly
•	 To	identify	caregivers	 within	or	outside	the	family	and	link	them	to	the	nearest	health	care	
facility."
Elderly Care Training Manual for ASHA,2,
Elderly Care Training Manual for ASHA,3,"3
As	per	Ministry	of	Health	&	Family	Welfare,	citizens	above	the	age	of	60	years	are	considered	 to	be	
elderly. With socio-economic development, declining fertility and increase in survival at older ages, the 
proportion	 of	older	people	(60	years	and	above)	in	general	population	 has	increased	 substantially	 within	
a relatively short period of time.
India recorded a significant improvement in life expectancy at birth, which was 47 years in 1969, growing 
to	60	years	in	1994	and	69	years	in	2019.The	 share	of	population	 of	elderly	was	8%	in	2015	i.e.	106	
million	(10	crores	plus)	across	the	nation,	making	India	the	second	largest	global	population	 of	elderly	
citizens.	Further,	it	has	been	projected	 that	by	2050	the	elderly	population	 will	increase	to	19%.	Therefore,	
to identify the health needs of the elderly, it is necessary to understand ageing and age-related changes. 
So, first we will understand the process of ageing
What is ageing?
Ageing is a universal phenomenon comprising of gradual loss of cells leading to deterioration of organ 
functions in a human body. Age related alteration affects across the elderly population and their body 
function diminishes.
Age-related changes in human body system
It is important for a caregiver to understand the age-related changes in the human body which will further 
help in meeting their needs. 
What are the signs of ageing?
 Vision impairment 
 Hearing impairment
 Disturbed sleep
 Loss of teeth
 Change in taste
 Decline in functions of lungs
 Decline in functions of heart
 Decline in functions of kidneyAgeing is not a disease but the elderly population are more susceptible to various diseases due to 
decreased immune response and poor regenerating capacity.
Identification of Elderly in 
Need of CareChapter
1"
Elderly Care Training Manual for ASHA,4,"4
 Wrinkling of skin
 Decrease in muscle strength
 Decrease inbone strength 
 Loss of bladder control
 Loss of appetite
 Decrease in sexual function
 Decrease in memory
 Increase in tiredness
Health risks in older patients
Various risk factors and their ill effects in elderly people have been identified. They are listed in the 
following table.
No. Health risks in elderly Consequences
1Nutritional deficiencies (over or 
under nutrition)Decreased bone mass, immune dysfunction
2Inadequate consumption of fibre 
and fruitsConstipation 
3Physical inactivity and sedentary 
lifestyleFunctional decline, loss of appetite
4Smoking Diabetes, cancer, cardiovascular diseases, and lung diseases
5Excessive alcohol consumption Decreased rate of metabolism, liver diseases, cancer
6Drug reaction and polypharmacy Decreased physical functioning, falls, delirium, renal failure, 
gastrointestinal and intracranial bleeding 
7Accidents and injuries Infections, complications, decreased physical functioning
How do you assess the risk in elderly?
Completion of Community Based Assessment Checklist (CBAC) is required for all elderly in the SHC-
HWC area. This will be done for each village by ASHA. The section B3 is specific to elderly.
B3: Elderly-specific 	(60	years	and	
above)Y/N Y/N
Do you feel unsteady while standing 
or walking?Do you need help from others to 
perform everyday activities such as 
eating, getting dressed, grooming, 
bathing, walking, or using the toilet?
Are you suffering from any physical 
disability that restricts your movement?Do you forget names of your near ones 
or your own home address?"
Elderly Care Training Manual for ASHA,5,"5
ASHA  will identify all elderly in need of Comprehensive Geriatric Assessment-CPHC if the answer to 
any of the questions in Part B3 of CBAC 	is	‘Yes’	and	will	refer	to		MPW	(F/M)	for	further	assessment	
Responses will be elicited from the elderly if the person is oriented; otherwise, responses will be taken 
from the first care giver.
The Operational Guidelines of Elderly care at Health and Wellness Centers envisage mobility-based 
classification of elderly with three main categories-
1.	 Mobile	elderly
2.	 Restricted	mobile	elderly	(mobility	only	with	personal	assistance	/device)	and
3.	 Bed-bound	 (assistance	 required	in	some	form)/home	 bound	elderly	for	any	reason	and	those	
requiring palliative care or end of life care
Assessment	 of	highrisk	of	elderly	is	conducted	 based	on	mobility.	Services	prioritized	 in	the	order	of	bed	
bound elderly, restricted mobile elderly and mobile elderly.
How would you elicit the age of elderly who do not remember their age? It can be guessed by 
asking about
•	 age	of	the	eldest	child	or	grandchild
•	 historical/political	events"
Elderly Care Training Manual for ASHA,6,"6
As people grow old, there are some degenerative conditions that occur. Elderly people are also prone to 
some diseases. In this chapter, you will learn about a few common health problems in the elderly.
Common	 conditions	 in	older	age	include	hearing	loss,	blurred	vision/	difficulty	in	reading,	back	and	neck	
pain, diabetes, depression, and dementia. Furthermore, as people age, they are more likely to experience 
several conditions at the same time. 
1. Eye problems:
•	 Elderly	 people	often	start	having	issues	with	their	eyesight	as	their	age	progresses.	 However,	
it is not necessary that every elderly would have weakened eyesight.
•	 It	needs	to	be	kept	in	mind	that	elderly	with	diabetes	may	be	at	the	risk	of	developing	
weakened eyesight. 
•	 Eyesight	for	near	vision	improves	and	distance	vision	weakens
•	 Blurred/weakened	 vision	can	limit	mobility	of	elderly,	affect	interpersonal	 interactions.	 It	may	
be a trigger for depression. It often becomes a barrier to accessing information, increases the 
risk of falls and accidents, and makes driving dangerous.
•	 Uncontrolled	diabetes	and	increased	blood	pressure	can	lead	to	issues	related	to	eyesight.
Let’s	learn	about	common	eye	problems	in	elderly.
 a) Difficulty in seeing the objects nearby: Presbyopia
•	 This	is	a	common	complaint	among	elderly.	
•	 It	is	a	condition	that	is	age	related	and	is	commonly	starts	after	the	age	of	40.	
•	 In	presbyopia,	 the	person	is	not	able	to	view	near	objects	properly	and	finds	difficulty	in	
reading.
•	 It	can	be	easily	corrected	by	use	of	spectacles.	
•	 There	are	ready	made	spectacles	available	which	provide	correction	for	near	vision.	.		
 b) Cataract:
•	 Cataract	 is	the	most	common	 eye	problem	in	the	
elderly.
•	 It	is	a	leading	cause	of	blindness	 across	the	world	
and India as well. 
•	 Cataract	usually	causes	gradual	loss	of	sight.	
•	 The	pupil;	black	circle	of	eye	shows	chalky	white	or	
Common Illnesses in 
ElderlyChapter
2"
