question,answer,theme,keywords,Name of Document,Page no.
When can activism/protest be useful?,"Activism/protest can be useful under the right circumstances, as it gives voice to a cause.",activism/protest,"['useful', 'right circumstances', 'voice', 'cause']",Induction Training Module for ASHA English,"[36, 37]"
What is the role of an ASHA worker in coordination?,An ASHA worker is expected to regularly coordinate with various stakeholders and the community.,ASHA worker,"['role', 'coordination', 'various stakeholders', 'community']",Induction Training Module for ASHA English,"[36, 37]"
What are some examples of stakeholders an ASHA worker needs to coordinate with?,"Some examples of stakeholders an ASHA worker needs to coordinate with are ANM, Anganwadi Worker, Milk cooperatives, Youth Leader, SHG Leader, Sarpanch and panch, Trained Birth Attendant, other helpers, and VHSNC Members.",ASHA worker,"['examples', 'stakeholders', 'ANM', 'Anganwadi Worker', 'Milk cooperatives', 'Youth Leader', 'SHG Leader', 'Sarpanch', 'panch', 'Trained Birth Attendant', 'helpers', 'VHSNC Members']",Induction Training Module for ASHA English,"[36, 37]"
What kind of information should an ASHA worker obtain and update?,An ASHA worker should obtain and update information on decisions taken at the PHC or at the Integrated Child Development officer’s level on schemes and programs related to health service provision.,ASHA worker,"['information', 'obtain', 'update', 'decisions', 'PHC', 'Integrated Child Development officer', 'schemes', 'programs', 'health service provision']",Induction Training Module for ASHA English,"[36, 37]"
What concerns should an ASHA worker share regarding access to health care and nutrition services?,An ASHA worker should share concerns regarding the access to health care and nutrition services at the village level.,Access to health care and nutrition services,"['ASHA worker', 'concerns', 'access', 'health care', 'nutrition services']",Induction Training Module for ASHA English,"[36, 37]"
What kind of health activities should an ASHA worker plan?,"An ASHA worker should plan health activities to get optimum outcomes, such as a health camp at the village level or organizing VHND.",Health activities planning,"['ASHA worker', 'health activities', 'optimum outcomes', 'health camp', 'VHND']",Induction Training Module for ASHA English,"[36, 37]"
When should an ASHA worker ensure timely referrals for pregnant women and sick children?,An ASHA worker should ensure timely referrals for pregnant women and sick children when needed.,Timely referrals for pregnant women and sick children,"['ASHA worker', 'timely referrals', 'pregnant women', 'sick children']",Induction Training Module for ASHA English,"[36, 37]"
What is the role of VHSNC Members?,VHSNC Members are part of a good forum to address issues related to health and well-being.,Role of VHSNC Members,"['VHSNC Members', 'forum', 'issues', 'health', 'well-being']",Induction Training Module for ASHA English,"[36, 37]"
What is the role of an ASHA worker in coordination with the ASHA and AWW?,An ASHA worker is expected to coordinate with the ASHA and AWW in their role as a link between health care services and the community.,Role of an ASHA worker in coordination with ASHA and AWW,"['ASHA worker', 'coordination', 'ASHA', 'AWW', 'link', 'health care services', 'community']",Induction Training Module for ASHA English,"[36, 37]"
What is the primary focus of ASHA home visits?,"The primary focus of ASHA home visits is on health education, care in illness, prioritizing households with a pregnant woman, a newborn (and post-natal mother), children under two, a malnourished child and marginalized households.",ASHA home visits,"['primary focus', 'health education', 'care in illness', 'pregnant woman', 'newborn', 'post-natal mother', 'children under two', 'malnourished child', 'marginalized households']",Induction Training Module for ASHA English,"[38, 39]"
Who do ASHA workers prioritize for home-based services?,"ASHA workers prioritize families with whom they are having difficulty in motivating for changing health seeking behaviors, those who do not attend VHND, and those who need referral but are unable to go.",ASHA workers,"['prioritize', 'home-based services', 'motivating', 'changing health seeking behaviors', 'attend VHND', 'referral']",Induction Training Module for ASHA English,"[38, 39]"
What is the primary role of ASHA workers in nutrition counseling?,The primary role of ASHA workers is in nutrition counseling.,nutrition counseling,"['primary role', 'ASHA workers']",Induction Training Module for ASHA English,"[38, 39]"
What is the primary focus of VHND?,"The primary focus of VHND is on social mobilization for women and children to attend, through motivation and counseling.",VHND,"['primary focus', 'social mobilization', 'women and children', 'motivation', 'counseling']",Induction Training Module for ASHA English,"[38, 39]"
What services are provided by the Anganwadi worker at VHND?,"The Anganwadi worker delivers immunization, antenatal care, identification of complications, and family planning services at VHND.",Anganwadi worker at VHND,"['immunization', 'antenatal care', 'identification of complications', 'family planning services']",Induction Training Module for ASHA English,"[38, 39]"
What does the Anganwadi worker do on non-VHND days?,"On non-VHND days, the Anganwadi worker identifies and provides care for registered children in the Anganwadi center, weighs children under five years of age on a monthly basis, and provides nutrition counseling.",Anganwadi worker,"['non-VHND days', 'care', 'registered children', 'Anganwadi center', 'weighs children', 'nutrition counseling']",Induction Training Module for ASHA English,"[38, 39]"
What is the role of VHSNC?,The role of VHSNC is to convene meetings and prepare Village health Plans.,VHSNC,"['role', 'convene meetings', 'prepare Village health Plans']",Induction Training Module for ASHA English,"[38, 39]"
What is the responsibility of ASHA in VHSNC?,ASHA supports in convening the meetings and village health planning in VHSNC.,ASHA in VHSNC,"['responsibility', 'convening meetings', 'village health planning']",Induction Training Module for ASHA English,"[38, 39]"
What are escort services in the context of ASHA workers?,Escort services are a voluntary function that ASHA workers provide based on requirement and feasibility.,ASHA workers,"['escort services', 'voluntary function', 'requirement', 'feasibility']",Induction Training Module for ASHA English,"[38, 39]"
What record maintenance responsibilities do ASHA workers have?,"ASHA workers maintain a drug kit stock card, a diary to record their work, and a register to assist in organizing and prioritizing their work. They also maintain a tracking register and record of service delivery for the services they deliver to pregnant women and children below two years of age.",ASHA workers,"['record maintenance responsibilities', 'drug kit stock card', 'diary', 'register', 'tracking register', 'service delivery', 'pregnant women', 'children below two years of age']",Induction Training Module for ASHA English,"[38, 39]"
How can an ASHA worker be an effective coordinator of a village meeting?,"To be an effective coordinator of a village meeting, an ASHA worker should prepare adequately before the meeting, meet the participants beforehand to inform them about the agenda, have clarity on the discussion topics, listen and observe carefully during the discussion, be prepared with counter-arguments, articulate on-the-spot decisions, give time to each person to share their views, briefly articulate the decisions or actions at the end of the discussion, ensure that the decisions are put into action within a few days, document each meeting, stay in touch with concerned stakeholders, and not hesitate to take help from others while facilitating a meeting.",Effective coordination of a village meeting,"['ASHA worker', 'coordinator', 'village meeting', 'prepare', 'agenda', 'discussion topics', 'listen', 'observe', 'counter-arguments', 'articulate', 'on-the-spot decisions', 'share views', 'articulate decisions', 'put into action', 'document meeting', 'stay in touch', 'take help']",Induction Training Module for ASHA English,"[38, 39]"
What is the importance of documenting each meeting?,"Documenting each meeting is important to keep a record of the decisions taken, actions to be taken, and to inform concerned stakeholders of the progress.",Importance of documenting each meeting,"['documenting', 'meeting', 'record', 'decisions', 'actions', 'inform stakeholders', 'progress']",Induction Training Module for ASHA English,"[38, 39]"
What should an ASHA worker do if they need help while facilitating a meeting?,"If an ASHA worker needs help while facilitating a meeting, they should identify the person well in advance, brief them on the kind of help needed, and have full confidence in the person selected.",Seeking help while facilitating a meeting,"['ASHA worker', 'facilitating', 'meeting', 'help', 'identify person', 'brief', 'confidence']",Induction Training Module for ASHA English,"[38, 39]"
What is the role of personal hygiene and clean surroundings in keeping good health?,Personal hygiene and cleanliness are essential to a good quality of life and closely related to maintaining good health and preventing disease.,"personal hygiene, clean surroundings, good health","['personal hygiene', 'cleanliness', 'good quality of life', 'maintaining good health', 'preventing disease']",Induction Training Module for ASHA English,"[43, 44]"
What did Gandhi Ji say about cleanliness?,Gandhi Ji said that cleanliness is next to Godliness.,"cleanliness, Gandhi Ji","['cleanliness', 'Gandhi Ji', 'next to Godliness']",Induction Training Module for ASHA English,"[43, 44]"
How do infections spread?,Infections can spread through unhygienic surroundings or poor personal hygiene.,"infections, unhygienic surroundings, poor personal hygiene","['infections', 'unhygienic surroundings', 'poor personal hygiene']",Induction Training Module for ASHA English,"[43, 44]"
What are the routes of infection shown in the illustration?,The routes of infection shown in the illustration include human faeces spreading into the food we eat and the water we drink.,"routes of infection, human faeces, food, water","['routes of infection', 'human faeces', 'food', 'water']",Induction Training Module for ASHA English,"[43, 44]"
What are common measures adopted to ensure good health?,Common measures adopted to ensure good health include personal measures and measures pertaining to our surroundings.,"common measures, good health, personal measures, surroundings","['common measures', 'good health', 'personal measures', 'surroundings']",Induction Training Module for ASHA English,"[43, 44]"
What is the importance of hand washing?,Hand washing is a simple practice that can effectively stop the spread of diseases.,hand washing,"['importance', 'stop', 'spread', 'diseases']",Induction Training Module for ASHA English,"[43, 44]"
When should hands be washed?,"Hands should be washed regularly at all times with soap, especially after defecation and before preparing, serving, and eating food.",hand washing,"['when', 'hands', 'washed', 'regularly', 'soap', 'defecation', 'preparing', 'serving', 'eating', 'food']",Induction Training Module for ASHA English,"[43, 44]"
Why should soil not be used to wash hands?,"Soil is often contaminated with harmful micro-organisms, so it should not be used to wash hands.",hand washing,"['soil', 'used', 'wash', 'hands', 'contaminated', 'harmful', 'micro-organisms']",Induction Training Module for ASHA English,"[43, 44]"
Can ash be used for hand washing?,"Ash can be used for hand washing, but it must be fresh from the fire.",hand washing,"['ash', 'used', 'hand washing', 'fresh', 'fire']",Induction Training Module for ASHA English,"[43, 44]"
Why must the use of ash for hand washing be discouraged?,The use of ash for hand washing must be discouraged because it is difficult to ensure that the ash is fresh and uncontaminated.,hand washing,"['use', 'ash', 'hand washing', 'discouraged', 'difficult', 'ensure', 'fresh', 'uncontaminated']",Induction Training Module for ASHA English,"[43, 44]"
What are the steps of proper hand washing?,There are 6 steps of hand washing that must be followed every time. Refer Annexure 8 for details.,hand washing,"['steps', 'proper', 'hand washing', '6', 'followed', 'time', 'refer', 'annexure', '8', 'details']",Induction Training Module for ASHA English,"[43, 44]"
Why must nails be cut for hand washing to be effective?,"Nails collect dirt, so hand washing will not be effective if the nails are not cut.",hand washing,"['nails', 'cut', 'hand washing', 'effective', 'collect', 'dirt']",Induction Training Module for ASHA English,"[43, 44]"
What is the importance of maintaining hygiene of other body parts?,Maintaining hygiene of other body parts is important for overall body hygiene.,hygiene,"['importance', 'maintaining', 'hygiene', 'body parts', 'overall', 'body hygiene']",Induction Training Module for ASHA English,"[43, 44]"
How should the skin be cleaned?,"The skin should be cleaned through a daily bath with soap and water, and thorough cleaning of hands, feet, and face.",skin cleaning,"['skin', 'cleaned', 'daily bath', 'soap', 'water', 'thorough cleaning', 'hands', 'feet', 'face']",Induction Training Module for ASHA English,"[43, 44]"
Why is it important to keep the body clean?,"Dirt makes the body a breeding ground for harmful bacteria, so keeping the body clean is important.",body cleanliness,"['important', 'body clean', 'dirt', 'breeding ground', 'harmful bacteria', 'keeping', 'body clean']",Induction Training Module for ASHA English,"[43, 44]"
What practices help in remaining clean and preventing skin infections?,"Wearing clean, dry clothes and footwear, as well as daily changing of clothes, particularly undergarments, help in remaining clean and preventing skin infections.",cleanliness,"['clean', 'skin infections', 'clothes', 'footwear', 'changing', 'undergarments']",Induction Training Module for ASHA English,"[43, 44]"
How often should teeth be brushed?,Teeth should be brushed regularly at least twice every day.,oral hygiene,"['teeth', 'brushed', 'regularly', 'twice', 'every day']",Induction Training Module for ASHA English,"[43, 44]"
What does brushing teeth prevent?,Brushing teeth prevents the growth of bacteria which cause cavities and gum disease.,oral hygiene,"['brushing teeth', 'prevent', 'growth', 'bacteria', 'cavities', 'gum disease']",Induction Training Module for ASHA English,"[43, 44]"
How should hair be kept clean?,Hair should be kept clean by regular wash with a mild shampoo/soap to avoid infections and infestation by head lice.,personal hygiene,"['hair', 'clean', 'regular wash', 'mild shampoo/soap', 'infections', 'infestation', 'head lice']",Induction Training Module for ASHA English,"[43, 44]"
What is the practice of open defecation?,The practice of open defecation is common in rural areas as well as in many urban pockets.,sanitation,"['practice', 'open defecation', 'common', 'rural areas', 'urban pockets']",Induction Training Module for ASHA English,"[43, 44]"
What happens due to open defecation?,Harmful organisms contaminate the soil and water sources due to open defecation.,Open Defecation,"['open defecation', 'harmful organisms', 'contaminate', 'soil', 'water sources']",Induction Training Module for ASHA English,"[43, 44]"
What can stop faecal contamination?,The use of sanitary toilets by all can stop faecal contamination.,Faecal Contamination,"['faecal contamination', 'sanitary toilets', 'stop']",Induction Training Module for ASHA English,"[43, 44]"
What should ASHA workers do regarding sanitary toilets?,ASHA workers should work with the VHSNC in ensuring that all households have access to sanitary toilets and use them regularly.,Sanitary Toilets,"['ASHA workers', 'VHSNC', 'households', 'access', 'sanitary toilets', 'use']",Induction Training Module for ASHA English,"[43, 44]"
What can prevent many diseases?,Safe handling of food and water can prevent many diseases.,Disease Prevention,"['prevent', 'diseases', 'safe handling', 'food', 'water']",Induction Training Module for ASHA English,"[43, 44]"
How can safe handling of food and water be achieved?,Safe handling of food and water can be achieved through cleaning of the food items before cooking or consuming.,Safe Handling,"['safe handling', 'food', 'water', 'cleaning', 'cooking', 'consuming']",Induction Training Module for ASHA English,"[43, 44]"
What is disease?,"Disease is an abnormal condition affecting the body. It causes pain, dysfunction, distress, or death to the person afflicted.",Disease,"['disease', 'abnormal condition', 'body', 'pain', 'dysfunction', 'distress', 'death', 'person afflicted']",Induction Training Module for ASHA English,"[46, 47]"
How does disease affect people?,"Diseases can affect people not only physically, but also emotionally and psychologically, as they can alter one’s perspective on life and their personality.",Disease Impact,"['diseases', 'affect', 'physically', 'emotionally', 'psychologically', 'alter', 'perspective', 'life', 'personality']",Induction Training Module for ASHA English,"[46, 47]"
What are communicable diseases?,Communicable diseases are diseases that spread from one person to another either directly or through a carrier such as a mosquito or flies.,Communicable Diseases,"['communicable diseases', 'spread', 'person', 'directly', 'carrier', 'mosquito', 'flies']",Induction Training Module for ASHA English,"[46, 47]"
Can you give examples of communicable diseases?,"Some examples of communicable diseases are common colds, diarrhoeal diseases, malaria, and tuberculosis.",Examples of Communicable Diseases,"['examples', 'communicable diseases', 'common colds', 'diarrhoeal diseases', 'malaria', 'tuberculosis']",Induction Training Module for ASHA English,"[46, 47]"
How can communicable diseases be prevented?,Steps must be taken to prevent the spread of communicable diseases from the persons affected to other people in the community.,Prevention of Communicable Diseases,"['prevent', 'spread', 'communicable diseases', 'persons affected', 'other people', 'community']",Induction Training Module for ASHA English,"[46, 47]"
What are non-communicable diseases?,"Non-communicable diseases are usually associated with people’s lifestyles, pollution, and deficiency or excess of some nutrients. They do not spread from one person to another.",Non-communicable diseases,"['non-communicable diseases', 'lifestyles', 'pollution', 'deficiency', 'excess', 'nutrients', 'spread']",Induction Training Module for ASHA English,"[46, 47]"
Can you give examples of non-communicable diseases?,"Some examples of non-communicable diseases are high blood pressure, diabetes, cancer, stroke, and other illnesses.",Non-communicable diseases,"['non-communicable diseases', 'high blood pressure', 'diabetes', 'cancer', 'stroke', 'illnesses']",Induction Training Module for ASHA English,"[46, 47]"
What are some physical and mental disabilities that people may live with?,"In our community, some people may live with various physical and mental disabilities such as deafness and blindness.",Physical and mental disabilities,"['physical and mental disabilities', 'deafness', 'blindness']",Induction Training Module for ASHA English,"[46, 47]"
What are some injuries that belong to the category of non-communicable diseases?,"Physical and mental injuries due to accidents such as road accidents, accidents which occur at work, and animal bites belong to the category of non-communicable diseases.",Non-communicable diseases,"['non-communicable diseases', 'physical and mental injuries', 'accidents', 'road accidents', 'work accidents', 'animal bites']",Induction Training Module for ASHA English,"[46, 47]"
How does our body heal itself?,"Our body has its own defense mechanisms, or ways to resist diseases and heal itself. Cleanliness, rest, adequate nutritious food, and water are essential to help the patient recover from the disease and live a healthy life.",Body healing,"['body', 'heal', 'defense mechanisms', 'resist diseases', 'cleanliness', 'rest', 'nutritious food', 'water', 'patient', 'recover', 'live a healthy life']",Induction Training Module for ASHA English,"[46, 47]"
What is the body's defense mechanism called?,"The body's defense mechanism is called immunity, which fights against germs or disease-causing organisms.",Immunity,"['body', 'defense mechanism', 'immunity', 'germs', 'disease-causing organisms']",Induction Training Module for ASHA English,"[46, 47]"
What helps the body recover from an illness?,The body's immunity system helps us recover from an illness. The severity and duration of illness vary with the type of pathogen and the body's defense mechanism.,Recovery from Illness,"['body', 'immunity system', 'recover', 'illness', 'type of pathogen', 'severity', 'duration']",Induction Training Module for ASHA English,"[46, 47]"
What are the components of mother's breast milk that enable the baby to fight illnesses?,"The components of mother's breast milk enable the baby to fight many illnesses. The first thick milk, colostrum, is a priceless shield for the baby and should never be discarded.",Breast Milk and Baby Health,"[""mother's breast milk"", 'baby', 'fight', 'illnesses', 'thick milk', 'colostrum', 'shield']",Induction Training Module for ASHA English,"[46, 47]"
How can non-communicable diseases be prevented or minimized?,"In the case of non-communicable diseases, adopting an active and healthy lifestyle is the key to prevent, reverse, or minimize the symptoms of the diseases. Medications, supplements, and surgeries may also be required in severe conditions.",Prevention of Non-communicable Diseases,"['non-communicable diseases', 'active', 'healthy lifestyle', 'prevent', 'reverse', 'minimize', 'symptoms', 'medications', 'supplements', 'surgeries']",Induction Training Module for ASHA English,"[46, 47]"
What are the traditional ways of healing and treating illnesses?,"The traditional systems of medicines include Ayurveda, Yoga, Unani, Siddha, and Homeopathy. There are also home remedies which are passed on through generations.",Traditional Healing and Treatment,"['traditional systems of medicines', 'Ayurveda', 'Yoga', 'Unani', 'Siddha', 'Homeopathy', 'home remedies', 'generations']",Induction Training Module for ASHA English,"[46, 47]"
Are traditional medicines safe?,"Many traditional medicines are of great value, cheaper, and do not have harmful side effects as only natural herbs and therapies are used in making them.",Traditional Medicines,"['traditional medicines', 'safe', 'value', 'cheaper', 'natural herbs', 'therapies']",Induction Training Module for ASHA English,"[46, 47]"
Are modern medicines safe?,"Modern medicines have side effects, so it is important to use them rationally and prevent injudicious usage.",Modern Medicines,"['modern medicines', 'safe', 'side effects', 'rational usage', 'injudicious usage']",Induction Training Module for ASHA English,"[46, 47]"
What are some medicines used for first contact care as an ASHA worker?,"Some medicines used for first contact care as an ASHA worker are Paracetamol, Chloroquine, Iron Folic acid, and ORS.",First Contact Care Medicines,"['first contact care', 'ASHA worker', 'Paracetamol', 'Chloroquine', 'Iron Folic acid', 'ORS']",Induction Training Module for ASHA English,"[46, 47]"
Where can the information about the use of drugs be found?,"The information about the use of drugs, including their dose, how many times to be given, side effects, and precautions, can be found in Annexure 11.",Drug Information,"['information', 'use of drugs', 'dose', 'side effects', 'precautions', 'Annexure 11']",Induction Training Module for ASHA English,"[46, 47]"
What are the additional medicines that ASHA workers will learn about in subsequent trainings?,ASHA workers will learn about some more medicines in the subsequent trainings.,Additional Medicines for ASHA Workers,"['additional medicines', 'ASHA workers', 'subsequent trainings']",Induction Training Module for ASHA English,"[46, 47]"
What is considered as fever in newborns or small infants?,A baby has fever if the temperature is above 99 degree Fahrenheit( 37.2 degree celsius).,Fever in Newborns or Small Infants,"['fever', 'newborns', 'small infants', 'temperature', '99 degree Fahrenheit', '37.2 degree celsius']",Induction Training Module for ASHA English,"[50, 51]"
What should be done if approached for a baby with fever?,"If approached for a baby with fever, the first dose of paracetamol should be given and the baby should be immediately referred to a hospital.",Approaching a Baby with Fever,"['baby', 'fever', 'first dose', 'paracetamol', 'referred', 'hospital']",Induction Training Module for ASHA English,"[50, 51]"
What is considered as high fever?,Fever above 39.5°C (103°F) is considered as high fever.,High Fever,"['high fever', '39.5°C', '103°F']",Induction Training Module for ASHA English,"[50, 51]"
What should be done for a child with high fever?,"For a child with high fever, the whole body should be sponged with tepid water. Cold water should not be used as it causes shivers. The child should not be covered with a blanket, windows should be kept open, and enough water and fluids should be given to drink.",Managing a Child with High Fever,"['child', 'high fever', 'sponged', 'tepid water', 'blanket', 'windows', 'water', 'fluids']",Induction Training Module for ASHA English,"[50, 51]"
What serious illnesses may be connected with fever?,"Several serious illnesses may be connected with fever, such as Malaria, Pneumonia, Pus (anywhere), Typhoid, TB, Kala-Azar, Filariasis, Brain Fever, HIV/AIDS, etc.",Serious Illnesses Connected with Fever,"['serious illnesses', 'fever', 'Malaria', 'Pneumonia', 'Pus', 'Typhoid', 'TB', 'Kala-Azar', 'Filariasis', 'Brain Fever', 'HIV/AIDS']",Induction Training Module for ASHA English,"[50, 51]"
"What should be done if there is no sign of infection in any organ or loss of consciousness, but the fever persists for more than 2 days?","If there is no sign of infection in any organ or loss of consciousness, but the fever persists for more than 2 days, immediate referral is required.",Fever,"['infection', 'organ', 'loss of consciousness', 'fever', 'referral']",Induction Training Module for ASHA English,"[50, 51]"
What should be done if danger signs are seen?,"If danger signs are seen, immediate referral should be made to an ANM or a PHC.",Danger Signs,"['danger signs', 'referral', 'ANM', 'PHC']",Induction Training Module for ASHA English,"[50, 51]"
What is pain?,Pain is a signal that something is wrong inside our body. It is an unpleasant sensation which is associated with tissue damage.,Pain,"['pain', 'signal', 'wrong', 'body', 'unpleasant sensation', 'tissue damage']",Induction Training Module for ASHA English,"[50, 51]"
What is the role of ASHA in pain relief?,The role of ASHA in pain relief is to find out the illness causing the pain and treat it as soon as possible.,ASHA Role,"['ASHA', 'pain relief', 'illness', 'causing', 'treat']",Induction Training Module for ASHA English,"[50, 51]"
What can be done for mild forms of pain without injury or other symptoms?,"For mild forms of pain without injury or other symptoms, Paracetamol Tablet can be given from the Drug Kit. Gentle oil massage for body aches and back aches can also be suggested.",Mild Pain Relief,"['mild forms', 'pain', 'injury', 'other symptoms', 'Paracetamol Tablet', 'Drug Kit', 'gentle oil massage', 'body aches', 'back aches']",Induction Training Module for ASHA English,"[50, 51]"
When should a referral to the PHC be made for pain?,Referral to the PHC should be made if the pain does not subside in a day or two or gets worse.,pain,"['referral', 'PHC', 'pain', 'subside', 'worse']",Induction Training Module for ASHA English,"[50, 51]"
When is immediate referral to a hospital needed for pain?,"Immediate referral to a hospital is needed for pain in the following cases: any pain with convulsion, any severe chest or abdomen pain, headache with neck stiffness, and any pain associated with burn injury and in joints.",pain,"['immediate referral', 'hospital', 'pain', 'convulsion', 'severe', 'chest', 'abdomen', 'headache', 'neck stiffness', 'burn injury', 'joints']",Induction Training Module for ASHA English,"[50, 51]"
What is the most frequent infectious disease in humans?,The most frequent infectious disease in humans is the common cold and cough.,infectious disease,"['frequent', 'infectious disease', 'common cold', 'cough']",Induction Training Module for ASHA English,"[50, 51]"
Is there a specific treatment for common cold and cough?,"No specific treatment exists for common cold and cough, but the symptoms can be relieved.",treatment,"['specific treatment', 'common cold', 'cough', 'symptoms', 'relieved']",Induction Training Module for ASHA English,"[50, 51]"
What can be used for relieving the symptoms of common cold and cough?,"Common home remedies like honey, ginger, and tulsi tea can be used for relieving the symptoms of common cold and cough.",relieving symptoms,"['relieving symptoms', 'common cold', 'cough', 'home remedies', 'honey', 'ginger', 'tulsi tea']",Induction Training Module for ASHA English,"[50, 51]"
What can be done for severe symptoms of common cold and cough?,"If the symptoms are severe, and if there is body-ache or headache, tablet Paracetamol can be given.",common cold and cough,"['severe symptoms', 'body-ache', 'headache', 'tablet Paracetamol']",Induction Training Module for ASHA English,"[50, 51]"
What can be done for wounds with no bleeding?,"For wounds with no bleeding, the wound should be cleaned using pre-boiled and cold water. Excess soap should be avoided as it may damage the flesh. If there is dirt, soap can be used. The dirt can be gently wiped away using cotton without rubbing it.",wounds with no bleeding,"['wounds', 'no bleeding', 'cleaned', 'pre-boiled and cold water', 'excess soap', 'damage the flesh', 'dirt', 'soap', 'gently wiped away', 'cotton']",Induction Training Module for ASHA English,"[50, 51]"
What should be done for wounds with bleeding?,Wounds with bleeding should be attended immediately as they may get contaminated and become infected.,wounds with bleeding,"['wounds', 'bleeding', 'attended immediately', 'contaminated', 'infected']",Induction Training Module for ASHA English,"[50, 51]"
What should be done for infected wounds?,Infected wounds require specific management. Refer to the relevant guidelines for the management of infected wounds.,infected wounds,"['infected wounds', 'specific management', 'relevant guidelines']",Induction Training Module for ASHA English,"[50, 51]"
What is the treatment for TB?,Both drugs and nourishment are needed for the cure of persons infected with TB.,treatment for TB,"['treatment', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What is the duration of the full treatment for TB?,The full treatment takes 6 to 8 months in most cases.,duration of full treatment for TB,"['duration', 'full treatment', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What happens if the patient does not complete the full treatment for TB?,"If the patient does not complete the full treatment, they will not be fully cured and the illness may come back and spread the TB germs.",consequences of not completing full treatment for TB,"['consequences', 'not completing', 'full treatment', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What is the role of ASHAs in the management of TB?,"ASHAs are responsible for identifying and referring patients with suspected cases of TB. They also ensure compliance for the treatment, counsel on patient taking extra nutrition, and build awareness to prevent the spread of TB.",role of ASHAs in management of TB,"['role', 'ASHAs', 'management', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What are some measures to prevent the spread of TB?,"Some measures to prevent the spread of TB include covering the mouth with a handkerchief while coughing and sneezing, using separate utensils for eating and drinking, avoiding spitting in nearby open space, and avoiding close contact with family members for at least the first two months after starting treatment.",measures to prevent spread of TB,"['measures', 'prevent', 'spread', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What is BCG vaccination?,BCG vaccination is a vaccination given at birth that prevents serious forms of TB.,BCG vaccination,"['BCG vaccination', 'birth', 'prevents', 'serious forms', 'TB']",Induction Training Module for ASHA English,"[60, 61]"
What is leprosy?,Leprosy is a chronic infectious disease caused by a bacteria called Mycobacterium leprae.,leprosy,"['leprosy', 'chronic infectious disease', 'bacteria', 'Mycobacterium leprae']",Induction Training Module for ASHA English,"[60, 61]"
What are the common signs and symptoms of leprosy?,"The common signs and symptoms of leprosy include white spots or dark colored patches on the skin with loss of sensation, paralysis and deformities in advanced cases.",common signs and symptoms of leprosy,"['common signs', 'symptoms', 'leprosy', 'white spots', 'dark colored patches', 'skin', 'loss of sensation', 'paralysis', 'deformities', 'advanced cases']",Induction Training Module for ASHA English,"[60, 61]"
How is leprosy spread?,"Leprosy is spread by skin to skin contact, as well as through sneezing and coughing.",spread of leprosy,"['leprosy', 'spread', 'skin to skin contact', 'sneezing', 'coughing']",Induction Training Module for ASHA English,"[60, 61]"
What is the role of ASHAs in the management of leprosy?,ASHAs are involved in the eradication program for leprosy. They mobilize all suspected individuals for a medical examination and ensure completion of the long course of treatment.,role of ASHAs in the management of leprosy,"['role', 'ASHAs', 'management', 'eradication program', 'leprosy', 'mobilize', 'suspected individuals', 'medical examination', 'completion', 'long course', 'treatment']",Induction Training Module for ASHA English,"[60, 61]"
What should be done if someone has a skin lesion?,"If someone has a skin lesion, they should show it to a doctor, especially if there is diminished sensation.",skin lesion,"['skin lesion', 'doctor', 'diminished sensation']",Induction Training Module for ASHA English,"[60, 61]"
How many antenatal visits must be ensured?,"Four antenatal visits must be ensured, including registration within the first three month period.",antenatal visits,"['four', 'antenatal visits', 'registration', 'first three month period']",Induction Training Module for ASHA English,"[66, 67]"
What is the suggested schedule for ANC visits?,"The suggested schedule for ANC visits is as follows: 1st visit - Within 12 weeks, 2nd visit - Between 14 and 26 weeks, 3rd visit - Between 28 and 34 weeks, 4th visit - After 36 weeks.",suggested schedule for ANC visits,"['suggested schedule', 'ANC visits', '1st visit', '12 weeks', '2nd visit', '14 and 26 weeks', '3rd visit', '28 and 34 weeks', '4th visit', '36 weeks']",Induction Training Module for ASHA English,"[66, 67]"
What services should be provided during ANC?,"The services to be provided during ANC include: complete history of current and previous pregnancy, weight, blood pressure, blood test for Haemoglobin, urine test, abdominal examination, 100 Iron Folic Acid (IFA) tablets, Tetanus toxoid (TT) Injections, counselling on nutritious diet and proper rest.",services during ANC,"['services', 'ANC', 'complete history', 'current', 'previous pregnancy', 'weight', 'blood pressure', 'blood test', 'Haemoglobin', 'urine test', 'abdominal examination', '100 Iron Folic Acid (IFA) tablets', 'Tetanus toxoid (TT) Injections', 'counselling', 'nutritious diet', 'proper rest']",Induction Training Module for ASHA English,"[66, 67]"
When should the first TT injection be given in the first pregnancy?,"In the first pregnancy, the first TT injection should be given as early as possible.",first TT injection in first pregnancy,"['first TT injection', 'first pregnancy', 'early as possible']",Induction Training Module for ASHA English,"[66, 67]"
When should the second TT injection be given in the first pregnancy?,"In the first pregnancy, the second TT injection should be given four weeks after the first one.",second TT injection in first pregnancy,"['second TT injection', 'first pregnancy', 'four weeks after', 'first one']",Induction Training Module for ASHA English,"[66, 67]"
